UniquePC,Unique participant code,,,,,,,,
zTreeSubject,zTree Subject Number,,,,,,,,
zTreePC,zTree Participant Code,,,,,,,,
QualPC,Qualtrics Participant Code,,,,,,,,
Date,,,,,,,,,
Time,,,,,,,,,
GroupNo,,,,,,,,,
IndiDec,Individual (first) decision,,,,,,,,
TimeConfirmIndividualDecisionOK,,,,,,,,,
Expl1,Explanation (line 1),,,,,,,,
Expl2,Explanation (line 2),,,,,,,,
Expl3,Explanation (line 3),,,,,,,,
GrpDec,Group Decision,,,,,,,,
Age,,,,,,,,,
GRP1,"[Please indicate how much you agree with each statement (1 = 'Strongly disagree"" and 5 = ""Strongly Agree""] I would be willing to work in this group in the future.",,,,,,,,
GRP2,I thought carefully about other people’s arguments.,,,,,,,,
GRP3,I avoided saying things for the sake of reaching consensus.,,,,,,,,
GRP4,"I would have preferred to complete this task by myself, rather than in a group.",,,,,,,,
GRP5,I didn’t speak up because someone else was already talking.,,,,,,,,
GRP6,Talking with someone else improved my understanding of the problem.,,,,,,,,
GRP7,I stuck with my answer and didn’t change my mind during the group discussion.,,,,,,,,
GRP8,I made sure not to upset anyone else when I spoke.,,,,,,,,
GRP9,Disagreements within the group were unhelpful.,,,,,,,,
GRP10,Other group members made valid assumptions and arguments that I did not consider alone.,,,,,,,,
GRP11,The group discussion helped correct some of the assumptions I had made alone.,,,,,,,,
GRP12,I felt that I couldn’t get my point across during the discussion.,,,,,,,,
GRP13,We paid equal attention to everyone’s arguments.,,,,,,,,
GRP14,Working in a group was an enjoyable experience.,,,,,,,,
MA,"If the group answer is not what you would have chosen, which answer would you have chosen?",,,,,,,,
BLF1,"Do you believe that the earth is getting warmer mostly because of human activity such as burning fossil fuels, OR mostly because of natural patterns in the earth's environment?",1=Entirely caused by natural processes,2=Mainly caused by natural processes,"3=Partly natural process, partly human activity",4=Mainly caused by human activity,5=Entirely caused by human activity,6=Climate change is not occurring,7=Don't know,8=No opinion
BLF2,"By moving the cursor on the slide, how much do you think human activity contributes to climate change, as a percentage of overall climate change?",,,,,,,,
AC,Which comes closest to your view on how we should address climate change?,3=Climate change is a serious and pressing problem. We should begin taking steps now even if this involves significant costs.,"2=Climate change should be addressed, but its effects will be gradual, so we can deal with the problem gradually by taking steps that are low in cost.","1=Until we are sure that climate change is really a problem, we should not take any steps that would have significant economic costs.",,,,,
CK,How much do you feel you know about climate change?,1=Nothing at all,2=A little,3=A moderate amount,4=A lot,,,,
EI,"How much more would you be willing to pay for household electricity to have it supplied by renewable energy (eg. solar energy, wind power)?",,,,,,,,
Don,"A carbon offset is a certificate representing the reduction of 1 Ton of CO2 emissions. To reduce emissions, organisations run projects in which greenhouse gases are captured and destroyed (eg. Capturing methane at a landfill), captured and stored (eg. Planting trees and maintaining forests), or by using clean, renewable energy sources (eg. Obtaining energy from a wind farm rather than fossil fuels).",,,,,,,,
WA,"Carbon Neutral Charitable Fund (CNCF) is a non-profit Australian organisation. They use donations to plant native trees on degraded land in order to offset carbon emissions. Individuals, families, and organisations can calculate the carbon footprint of various activities, and then pay $25/tonne to offset the emissions.",,,,,,,,
,"To thank you for participating, all participants will be entered into a prize-draw consisting of 4 x $25 cash prizes. If you win, you have the option of donating some or all of it to CNCF. You will keep any remaining cash that you don’t donate. If you were one of the four winners, how much would you donate to CNCF?",,,,,,,,
V1,ResponseSet,,,,,,,,
V2,StartDate,,,,,,,,
V3,EndDate,,,,,,,,
V4,Finished,,,,,,,,
SC0_0,Score-sum,,,,,,,,
SC0_1,Score-weightedAvg,,,,,,,,
SC0_2,Score-weightedStdDev,,,,,,,,
Q51,Participant Code,,,,,,,,
Q42,Press the arrow button to begin the questionnaire.,,,,,,,,
Q41_1,Timing-First Click,,,,,,,,
Q41_2,Timing-Last Click,,,,,,,,
Q41_3,Timing-Page Submit,,,,,,,,
Q41_4,Timing-Click Count,,,,,,,,
Q12_1,Please indicate how much you agree with each statement.-Intuition is the best guide in making decisions.,,,,,,,,
Q12_2,Please indicate how much you agree with each statement.-Changing your mind is a sign of weakness.,,,,,,,,
Q12_3,Please indicate how much you agree with each statement.-People should revise their beliefs in response to new information or evidence.,,,,,,,,
Q12_4,Please indicate how much you agree with each statement.-One should disregard evidence that conflicts with one's established beliefs.,,,,,,,,
Q12_5,"Please indicate how much you agree with each statement.-It is important to persevere in your beliefs, even when evidence is brought to bear against them.",,,,,,,,
Q12_6,Please indicate how much you agree with each statement.-People should take into consideration evidence that goes against their beliefs.,,,,,,,,
Q12_7,Please indicate how much you agree with each statement.-Allowing oneself to be convinced by an opposing argument is a sign of good character.,,,,,,,,
Q43_1,Timing-First Click,,,,,,,,
Q43_2,Timing-Last Click,,,,,,,,
Q43_3,Timing-Page Submit,,,,,,,,
Q43_4,Timing-Click Count,,,,,,,,
Q13,A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the b...,,,,,,,,
Q15,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 da...",,,,,,,,
Q14,"If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 1...",,,,,,,,
Q44_1,Timing-First Click,,,,,,,,
Q44_2,Timing-Last Click,,,,,,,,
Q44_3,Timing-Page Submit,,,,,,,,
Q44_4,Timing-Click Count,,,,,,,,
Q5,How much do you feel you know about climate change?,,,,,,,,
Q6_1,Which of these activities cause increases in atmospheric greenhouse gases?-People heating and cooling homes,,,,,,,,
Q6_2,Which of these activities cause increases in atmospheric greenhouse gases?-Use of aerosol spray cans,,,,,,,,
Q6_3,Which of these activities cause increases in atmospheric greenhouse gases?-Nuclear power generation,,,,,,,,
Q6_4,Which of these activities cause increases in atmospheric greenhouse gases?-People driving their cars,,,,,,,,
Q6_5,Which of these activities cause increases in atmospheric greenhouse gases?-Pollution/Emissions from business and industry,,,,,,,,
Q6_6,Which of these activities cause increases in atmospheric greenhouse gases?-Use of chemicals to destroy insect pests,,,,,,,,
