UniquePC,Date,Time,GroupNo,Group Condition,zTreeSubject,zTreePC,QualPC,IndiDec,TimeConfirmIndividualDecisionOK,Expl1,Expl2,Expl3,GrpDec,Age,Gender,GRP1,GRP2,GRP3,GRP3_rs,GRP4,GRP4_rs,GRP5,GRP5_rs,GRP6,GRP7,GRP7_rs,GRP8,GRP8_rs,GRP9,GRP9_rs,GRP10,GRP11,GRP12,GRP12_rs,GRP13,GRP14,GRP_total,MA,BLF1,BLF2,AC,CK,EI,Don,WA,V2,V3,V4,SC0_0,SC0_1,SC0_2,Q51,Q42,Q41_1,Q41_2,Q41_3,Q41_4,Q12_1,Q12_1_rs,Q12_2,Q12_2_rs,Q12_3,Q12_4,Q12_4_rs,Q12_5,Q12_5_rs,Q12_6,Q12_7,AOM_total,Q43_1,Q43_2,Q43_3,Q43_4,Q13,Q15,Q14,Q44_1,Q44_2,Q44_3,Q44_4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q45_1,Q45_2,Q45_3,Q45_4,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,EWV_ductile,EWV_elastic,Q46_1,Q46_2,Q46_3,Q46_4,Q16_1,Q16_2,Q16_2_rs,Q16_3,Q16_3_rs,Q16_4,Q16_5,Q16_6,Q16_6_rs,Q16_7,Q16_7_rs,Q16_8,Q16_9,Q16_9_rs,Q38_1,Q38_2,Q38_3,Q38_3_rs,Q38_4,Q38_4_rs,Q38_5,Q38_6,Q38_6_rs,Q38_7,Q38_7_rs,Q38_8,Q38_9,NFC_total,Q47_1,Q47_2,Q47_3,Q47_4,Q7,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q48_1,Q48_2,Q48_3,Q48_4,Q36_1,Q36_2,Q36_2_rs,Q36_3,Q36_4,Q36_4_rs,Q36_5,Q36_6,Q36_7,Q36_8,Q36_8_rs,Q39_1,Q39_1_rs,Q39_2,Q39_3,Q39_3_rs,Q39_4,Q39_4_rs,Q39_5,Q39_6,Q39_6_rs,Q39_7,STS_total,Q49_1,Q49_2,Q49_3,Q49_4,Q18,Q16_4,Q16_5,Q16_global,Q17_4,Q17_5,Q17_global,Q19_4,Q19_5,Q19_global,Q20_4,Q20_5,Q20_global,Q21_4,Q21_5,Q21_global,Q22_4,Q22_5,Q22_global,Q23_4,Q23_5,Q23_global,Q24_4,Q24_5,Q24_global,Q25_4,Q25_5,Q25_global,Q26_4,Q26_5,Q26_global,Q27_4,Q27_5,Q27_global,Q28_4,Q28_5,Q28_global,Q29_4,Q29_5,Q29_global,Q30_4,Q30_5,Q30_global,Q31_4,Q31_5,Q31_global,Q32_4,Q32_5,Q32_global,KPF_global_total,Q50_1,Q50_2,Q50_3,Q50_4,Q1,Q2,Q3
Unique participant code,,,,1 or 2 or 4,zTree Subject Number,zTree Participant Code,Qualtrics Participant Code,Individual (first) decision,,Explanation (line 1),Explanation (line 2),Explanation (line 3),Group Decision,,,I would be willing to work in this group in the future.,I thought carefully about other people’s arguments.,I avoided saying things for the sake of reaching consensus.,,"I would have preferred to complete this task by myself, rather than in a group.",,I didn’t speak up because someone else was already talking.,,Talking with someone else improved my understanding of the problem.,I stuck with my answer and didn’t change my mind during the group discussion.,,I made sure not to upset anyone else when I spoke.,,Disagreements within the group were unhelpful.,,Other group members made valid assumptions and arguments that I did not consider alone.,The group discussion helped correct some of the assumptions I had made alone.,I felt that I couldn’t get my point across during the discussion.,,We paid equal attention to everyone’s arguments.,Working in a group was an enjoyable experience.,,"If the group answer is not what you would have chosen, which answer would you have chosen?","Do you believe that the earth is getting warmer mostly because of human activity such as burning fossil fuels, OR mostly because of natural patterns in the earth's environment?",,Which comes closest to your view on how we should address climate change?,How much do you feel you know about climate change?,"How much more would you be willing to pay for household electricity to have it supplied by renewable energy (eg. solar energy, wind power)?","A carbon offset is a certificate representing the reduction of 1 Ton of CO2 emissions. To reduce emissions, organisations run projects in which greenhouse gases are captured and destroyed (eg. Capturing methane at a landfill), captured and stored (eg. Planting trees and maintaining forests), or by using clean, renewable energy sources (eg. Obtaining energy from a wind farm rather than fossil fuels).",What do you think this study is about?,StartDate,EndDate,Finished,Score-sum,Score-weightedAvg,Score-weightedStdDev,Participant Code,Press the arrow button to begin the questionnaire.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Please indicate how much you agree with each statement.-Intuition is the best guide in making decisions.,,Please indicate how much you agree with each statement.-Changing your mind is a sign of weakness.,,Please indicate how much you agree with each statement.-People should revise their beliefs in response to new information or evidence.,Please indicate how much you agree with each statement.-One should disregard evidence that conflicts with one's established beliefs.,,"Please indicate how much you agree with each statement.-It is important to persevere in your beliefs, even when evidence is brought to bear against them.",,Please indicate how much you agree with each statement.-People should take into consideration evidence that goes against their beliefs.,Please indicate how much you agree with each statement.-Allowing oneself to be convinced by an opposing argument is a sign of good character.,,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the b...,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 da...","If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 1...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,How much do you feel you know about climate change?,Which of these activities cause increases in atmospheric greenhouse gases?-People heating and cooling homes,Which of these activities cause increases in atmospheric greenhouse gases?-Use of aerosol spray cans,Which of these activities cause increases in atmospheric greenhouse gases?-Nuclear power generation,Which of these activities cause increases in atmospheric greenhouse gases?-People driving their cars,Which of these activities cause increases in atmospheric greenhouse gases?-Pollution/Emissions from business and industry,Which of these activities cause increases in atmospheric greenhouse gases?-Use of chemicals to destroy insect pests,Which of these activities cause increases in atmospheric greenhouse gases?-Destruction of forests,Which of these activities cause increases in atmospheric greenhouse gases?-Use of coal and oil by utilities and electric companies,Which of these activities cause increases in atmospheric greenhouse gases?-Depletion of ozone in the upper atmosphere,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Please indicate how much you agree with each statement.-The natural environment will become unstable if humans exceed the limits identified by experts,Please indicate how much you agree with each statement.-The natural environment is capable of recovering from any damage humans may cause,Please indicate how much you agree with each statement.-The natural environment can be managed if there are clear rules about what is allowed,"Please indicate how much you agree with each statement.-Ultimately, there's nothing individuals can do to manage or change the natural environment",Please indicate how much you agree with each statement.-If the balance of the natural environment is upset the whole system will collapse,Please indicate how much you agree with each statement.-Conservation and protection is the most rational strategy for managing the natural environment,Please indicate how much you agree with each statement.-When pushed beyond the limits identified by experts the natural environment will not recover,Please indicate how much you agree with each statement.-We all have a moral obligation to protect the environment and consume fewer resources,"Please indicate how much you agree with each statement.-There's no point wasting time, energy and resources on trying to manage the natural environment",Please indicate how much you agree with each statement.-Individuals should have freedom of choice regardless of the environmental impacts,Please indicate how much you agree with each statement.-Human industry and technology has not caused significant damage to the natural environment,Please indicate how much you agree with each statement.-Humans can't control what happens in the natural environment,,,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Please indicate how much you agree with each statement. There are no right or wrong answers.-I usually end up deliberating about issues even when they do not affect me personally.,Please indicate how much you agree with each statement. There are no right or wrong answers.-I try to anticipate and avoid situations where there is likely chance I will have to think in depth about something.,,Please indicate how much you agree with each statement. There are no right or wrong answers.-I feel relief rather than satisfaction after completing a task that required 4 of mental effort.,,Please indicate how much you agree with each statement. There are no right or wrong answers.-I prefer my life to be filled with puzzles that must be solved.,Please indicate how much you agree with each statement. There are no right or wrong answers.-I really enjoy a task that involves coming up with new solutions to problems.,"Please indicate how much you agree with each statement. There are no right or wrong answers.-I prefer to think about small, daily projects to long-term ones.",,Please indicate how much you agree with each statement. There are no right or wrong answers.-Thinking is not my idea of fun.,,Please indicate how much you agree with each statement. There are no right or wrong answers.-The idea of relying on thought to make my way to the top appeals to me.,Please indicate how much you agree with each statement. There are no right or wrong answers.-I would rather do something that requires little thought than something that is sure to challenge my thinking abilities.,,Please indicate how much you agree with each statement. There are no right or wrong answers.-I find satisfaction in deliberating hard and for long hours.,Please indicate how much you agree with each statement. There are no right or wrong answers.-I would prefer complex to simple problems.,Please indicate how much you agree with each statement. There are no right or wrong answers.-I only think as hard as I have to.,,Please indicate how much you agree with each statement. There are no right or wrong answers.-It's enough for me that something gets the job done; I don't care how or why it works.,,"Please indicate how much you agree with each statement. There are no right or wrong answers.-I would prefer a task that is intellectual, difficult, and important to one that is somewhat important but does not require much thought.",Please indicate how much you agree with each statement. There are no right or wrong answers.-Learning new ways to think doesn't excite me very much.,,Please indicate how much you agree with each statement. There are no right or wrong answers.-I like tasks that require little thought once I've learned them.,,Please indicate how much you agree with each statement. There are no right or wrong answers.-The notion of thinking abstractly is appealing to me.,Please indicate how much you agree with each statement. There are no right or wrong answers.-I like to have the responsibility of handling a situation that requires 4 of thinking.,,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Do you believe that the earth is getting warmer mostly because of human activity such as burning...,Which comes closest to your view on how we should address climate change?,Would you support the following policy proposals to mitigate global warming?-Shifting subsidies from fossil fuels to renewable energy,Would you support the following policy proposals to mitigate global warming?-Tax based on a vehicle's fuel economy,Would you support the following policy proposals to mitigate global warming?-A tax on energy used by businesses,Would you support the following policy proposals to mitigate global warming?-Mandatory reductions in Australia's greenhouse gas emissions,Would you support the following policy proposals to mitigate global warming?-Government regulation of carbon dioxide as a pollutant,Would you support the following policy proposals to mitigate global warming?-Increase in vehicle fuel economy standards,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Please indicate how much you agree with each statement.-When I have to make a decision in my life I tend to see all kinds of possible consequences to each choice.,"Please indicate how much you agree with each statement.-Social problems, environmental problems, and economic problems are all separate issues.",,Please indicate how much you agree with each statement.-I like to know how events or information fit into the big picture.,Please indicate how much you agree with each statement.-Only very large events can significantly change big systems like economies or ecosystems.,,"Please indicate how much you agree with each statement.-All the Earth's systems, from the climate to the economy, are interconnected.",Please indicate how much you agree with each statement.-Everything is constantly changing.,"Please indicate how much you agree with each statement.-Adding just one more, small farm upstream from a lake can permanently alter that lake.","Please indicate how much you agree with each statement.-When a boom or a crash happens in part of the world's economy, it is because someone intentionally planned or designed for it to run that way.",,"Please indicate how much you agree with each statement.-Ultimately, we can break all problems down to what is simply right and wrong.",,"Please indicate how much you agree with each statement.-The Earth, including all its inhabitants, is a living system.",Please indicate how much you agree with each statement.-Rules and laws should not change 4 over time.,,Please indicate how much you agree with each statement.-If I make plans and control my behaviour I can accurately predict how my life will unfold.,,Please indicate how much you agree with each statement.-Seemingly small choices we make today can ultimately have major consequences.,Please indicate how much you agree with each statement.-My health has nothing to do with what is happening in the world.,,Please indicate how much you agree with each statement.-It is possible for a community to organise into a new form that was not planned or designed by an authority or government.,,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,You will now be shown a series of three figures; one figure at the top and two below it. Please c...,Does the figure at the top resemble the left or right figure at the bottom more?-Global,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,Does the figure at the top resemble the left or right figure at the bottom more?-Global,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,Does the figure at the top resemble the left or right figure at the bottom more?-Global,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,Does the figure at the top resemble the left or right figure at the bottom more?-Global,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,Does the figure at the top resemble the left or right figure at the bottom more?-Global,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,Does the figure at the top resemble the left or right figure at the bottom more?-Global,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,Does the figure at the top resemble the left or right figure at the bottom more?-Global,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,Does the figure at the top resemble the left or right figure at the bottom more?-Global,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,Does the figure at the top resemble the left or right figure at the bottom more?-Global,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,Does the figure at the top resemble the left or right figure at the bottom more?-Global,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,Does the figure at the top resemble the left or right figure at the bottom more?-Global,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,Does the figure at the top resemble the left or right figure at the bottom more?-Global,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,Does the figure at the top resemble the left or right figure at the bottom more?-Global,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,Does the figure at the top resemble the left or right figure at the bottom more?-Global,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,Does the figure at the top resemble the left or right figure at the bottom more?-Global,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,Does the figure at the top resemble the left or right figure at the bottom more?-Global,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,What is your age?,Under which faculty is your degree-specific major?,What is your sex?
1,130516,1000,1,4,1,2,,1,-2020,"Currently. we are at 8GtC/Year of emissions which leaves us at 400ppm. In order to reach the max level of 420ppm, we can allow for an increase of approxinately 3GtC/Year, putting us at 11GtC/Year. Both options C and ","D require us to decrease our current emissions and option B suggests that we can remain at the current level. If we remain at the current level, then we will remin at 400ppm. Option A ",provides us with the maximum level of carbon dioxide emissions that is possible in order to allow sustainability. Any more and we become unsustainable as there will be severe consequences for the environment.,3,19,1,5,4,3,3,1,5,1,5,4,2,4,1,5,1,5,4,4,2,4,4,4,60,1,4,84,2,3,0%,0,Making decisions with regards to climate change. This study required consideration of several outcomes in order to determine which was best for society (ie: which combination of emissions and absorption could put us at an ideal state of 420ppm of CO2).,13/05/2016 9:28,13/05/2016 10:14,1,0,0,0,,,,,,,5,3,2,6,6,2,6,3,5,2,4,32,,,,,10,24,100,,,,,2,2,2,1,1,1,2,1,1,1,,,,,2,3,4,2,4,4,4,5,2,2,1,1,23,11,,,,,6,4,6,7,3,6,7,5,5,2,8,8,3,7,6,6,4,6,2,8,6,1,9,5,5,4,7,113,,,,,4,2,1,1,1,1,2,1,,,,,6,2,6,6,3,5,6,6,6,2,6,3,5,6,2,6,2,6,6,2,6,6,88,,,,,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,0,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,15,,,,,19,6,2
2,130516,1000,1,4,2,1,,1,-1975,"Figure A  is the only graph that shows that CO2 emissions have risen from 8GtC/year  and by the time that it reaches 2100 on the graph, the line starts to even out.","Hence atmospheric CO2 stabilises at this point, since absorption has not changed.", ,3,18,1,4,4,1,5,1,5,1,5,5,1,5,4,2,1,5,5,5,1,5,5,4,64,1,4,80,3,2,10%,10,"People's attitudes towards climate change and also how people work in group discussions, whether or not they are willing to change their mind from their original beliefs and assumptions based on other people's arguments.",13/05/2016 9:31,13/05/2016 10:19,1,0,0,0,,,,,,,3,5,2,6,5,1,7,4,4,7,5,39,,,,,10,24,100,,,,,3,1,1,3,1,1,1,1,1,1,,,,,5,3,4,1,4,4,3,5,1,1,1,4,25,11,,,,,5,2,8,2,8,6,7,7,3,3,7,8,4,6,5,7,5,5,4,6,7,2,8,3,7,7,7,117,,,,,4,1,1,2,1,1,1,1,,,,,6,3,5,7,4,4,6,7,6,4,4,2,6,7,2,6,2,6,5,3,5,6,86,,,,,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,0,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,15,,,,,18,3,2
3,130516,1000,1,4,3,4,,3,-2176,"Graph C shows a plateu in GtC per year of carbon dioxide emissions, and at a rate of around 6 GtC per year being release and an absorption of 5 GtC per year, I thought this would create a stable",420ppmm of atmospheric carbon by the year 2100, ,3,18,1,5,5,2,4,1,5,1,5,4,4,2,4,2,3,3,4,2,1,5,5,5,56,3,4,76,3,3,20%,25,Coming to a collaborative conclusion about poliy and action made on climate change and how these decisions play out within a group of people regarding their beleifs and opinions on climate change.,13/05/2016 9:31,13/05/2016 10:15,1,0,0,0,,,,,,,5,3,1,7,6,2,6,5,3,7,4,36,,,,,10,47,5,,,,,2,1,1,1,1,1,1,1,1,1,,,,,2,4,4,1,4,4,3,5,1,2,2,2,22,12,,,,,6,3,7,4,6,4,6,8,2,5,5,6,4,6,6,6,2,8,4,6,6,5,5,6,4,5,7,101,,,,,4,1,1,1,1,1,1,1,,,,,5,2,6,6,3,5,5,5,5,1,7,4,4,6,5,3,5,3,6,4,4,4,74,,,,,1,1,2,0,2,1,1,1,2,0,1,2,0,1,2,0,1,2,0,2,1,1,2,1,1,2,1,1,2,1,1,1,2,0,1,2,0,2,1,1,2,1,1,1,2,0,2,1,1,8,,,,,18,6,2
4,130516,1000,1,4,4,3,,3,-2040,Not graph A - has emissions of 11Gtc/year so ppm would increase. Not graph B - emmissions reamin the same so ppm would continue on predicted curve/ increase as much as they have since industrial ,"revolution. Either C or D, as this would result in ppm build up slowing down. Said C as if emission and absorbtion were equal as in D I would expect ppm to go down not up. ", ,3,24,1,4,4,2,4,5,1,5,1,2,5,1,5,1,2,4,3,2,4,2,2,3,34,3,4,92,3,2,20%,25,"Group desision making/problem sloving in the face of abstract tasks. Attitudes towards climate change, and the effect on problem solving. ",13/05/2016 9:31,13/05/2016 10:15,1,0,0,0,,,,,,,3,5,1,7,7,2,6,2,6,7,6,44,,,,,10,47,100,,,,,2,1,1,2,1,1,3,1,1,1,,,,,5,1,4,2,3,4,5,5,1,2,1,2,26,9,,,,,7,2,8,5,5,8,8,3,7,1,9,9,2,8,6,6,6,4,2,8,6,1,9,6,4,7,7,126,,,,,4,1,1,2,1,1,1,1,,,,,6,1,7,7,3,5,7,5,5,2,6,2,6,5,1,7,5,3,5,1,7,7,88,,,,,1,1,2,0,2,1,1,1,2,0,1,2,0,1,2,0,1,2,0,2,1,1,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,2,1,1,1,2,0,1,2,0,3,,,,,24,6,2
5,130516,1100,2,4,1,1,,3,-2216,"Needs to stabalise by 2100, Graph A shows increased upward trend, Graph B shows consistent 8 GTC/yr emission with no change - may also be correct? Would leave emissions at 400PPM not 420PPM? Graph D seems unachievable. Graph C seems reasonable. ", ,,3,22,1,2,3,4,2,3,3,1,5,3,1,5,2,4,4,2,1,2,2,4,2,4,42,2,4,72,3,3,10%,10,Psychological processes behind Individual View on Climate Change & the potential for applications of this study to create a general attitude from which to model future Climate Change preventative actions on. ,13/05/2016 10:51,13/05/2016 11:20,1,0,0,0,,,,,,,3,5,2,6,6,1,7,2,6,7,5,42,,,,,5,2,20,,,,,3,3,2,2,3,1,3,1,1,2,,,,,5,3,2,2,4,3,3,4,1,1,1,1,21,9,,,,,7,1,9,5,5,6,7,7,3,2,8,7,2,8,5,6,4,6,1,9,8,4,6,4,6,6,8,120,,,,,3,1,1,1,2,1,2,1,,,,,6,1,7,7,2,6,7,7,7,6,2,4,4,7,1,7,3,5,6,1,7,5,90,,,,,1,2,1,1,1,2,0,1,2,0,1,2,0,1,2,0,2,1,1,2,1,1,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,2,1,1,1,2,0,2,1,1,5,,,,,,3,2
6,130516,1100,2,4,2,2,,1,-1976,I thought it was more accurate that our projections for emissions would gradually curve downwards versus making either a sharp decline or plateuing. There is hope that our emissions,"will decline, but it would be too idealistic to imply that the change would be immediate and the decline would be as drastic as depicted in options B, C, and D",,3,21,1,4,4,4,2,3,3,2,4,5,5,1,5,1,2,4,5,5,1,5,3,3,49,1,3,48,3,4,30%,25,Ability to take in new information and argue a strong point post recieving convincing information. ,13/05/2016 10:54,13/05/2016 11:10,1,0,0,0,,,,,,,5,3,3,5,7,1,7,2,6,7,3,38,,,,,10,24,100,,,,,4,1,1,1,1,1,1,1,1,1,,,,,5,2,5,1,3,4,2,5,1,1,1,1,24,7,,,,,9,1,9,5,5,8,9,5,5,1,9,7,1,9,8,9,1,9,3,7,9,2,8,2,8,9,9,146,,,,,3,1,1,1,1,1,1,1,,,,,6,2,6,6,7,1,7,4,7,1,7,7,1,1,6,2,7,1,1,7,1,1,52,,,,,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,0,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,15,,,,,21,1,2
7,130516,1100,2,4,3,3,,3,-2311, ,.,,3,23,2,4,5,5,1,2,4,3,3,4,3,3,5,1,2,4,4,4,3,3,4,4,48,3,3,36,3,3,20%,10,How people build their understanding about global issues to better understand how possible solutions would be made up.,13/05/2016 10:52,13/05/2016 12:11,1,0,0,0,,,,,,,3,5,1,7,7,1,7,3,5,7,6,44,,,,,10,47,5,,,,,3,2,2,2,1,1,2,1,1,2,,,,,4,4,4,1,4,4,2,4,1,5,2,4,22,17,,,,,7,5,5,6,4,4,7,5,5,4,6,7,4,6,4,5,6,4,3,7,4,2,8,5,5,5,3,96,,,,,3,1,1,2,1,1,1,2,,,,,7,7,1,5,3,5,6,6,2,3,5,1,7,7,1,7,2,6,4,2,6,5,79,,,,,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,0,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,15,,,,,23,6,1
8,130516,1100,2,4,4,4,,4,-2280,The rate of CO2 emissions must be decreased and eventually becomes equal to the rate of absorption so that the atmospheric CO2 will be stablized at the targeted 420 ppm by the year ,"2100. If the CO2 emission is more than the rate of absorption, the atmospheric CO2 will also increased with time as there is excess of CO2. ",,3,34,1,4,4,2,4,3,3,4,2,4,3,3,4,2,4,2,4,4,3,3,4,4,47,3,4,60,2,3,20%,10,"Understanding about the human roles in climate change, how are we supposed to rectify the climate problems and how willing we are to spend to solve this problem.  ",13/05/2016 10:53,13/05/2016 11:16,1,0,0,0,,,,,,,4,4,3,5,5,2,6,3,5,6,5,36,,,,,10,24,1,,,,,2,2,2,1,1,1,2,1,1,1,,,,,5,4,4,1,5,5,5,5,2,2,2,2,29,13,,,,,5,3,7,6,4,6,5,8,2,6,4,8,5,5,4,3,7,3,6,4,5,3,7,7,3,3,7,85,,,,,4,2,1,1,1,1,2,1,,,,,6,3,5,5,4,4,6,6,2,3,5,2,6,5,3,5,4,4,5,1,7,5,76,,,,,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,0,2,1,1,2,1,1,1,2,0,2,1,1,2,1,1,1,2,0,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,13,,,,,34,6,2
9,170516,1300,3,4,1,5,405,3,-2021,There has to be an equilibrium between the co2 emissions and absorption for there to be a stabalisation. , , ,1,18,1,4,4,4,2,3,3,1,5,5,1,5,4,2,2,4,5,5,1,5,5,4,58,1,4,80,3,3,20%,12,I think it was interesting and very different from any other studies I've been a part of. I enjoyed the group discussion as it helped to improve my understanding of climate change and change my views slight on the issue. ,17/05/2016 12:53,17/05/2016 13:16,1,0,0,0,405,1,6.344,48.047,48.864,8,5,3,2,6,6,3,5,5,3,6,4,33,13.527,148.146,150.371,5,10,24,100,5.564,62.442,62.817,12,2,2,2,2,1,1,2,1,1,2,10.851,79.016,82.258,13,4,2,4,1,4,4,4,3,1,3,2,2,23,11,8.086,116.246,117.877,24,7,3,7,4,6,6,8,6,4,1,9,7,1,9,5,6,4,6,3,7,6,1,9,7,3,7,7,119,9.016,64.622,71.117,9,4,2,1,2,1,2,2,1,7.635,89.525,91.575,21,6,2,6,6,3,5,6,7,5,2,6,1,7,6,2,6,3,5,4,3,5,5,85,13.406,62.487,63.736,18,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,16,1.955,8.355,10.95,3,18,6,2
